symbol,year,close,ret,vol,maxdd,divs,div_yield,momentum,eps,price_date,return_basis,dividend_unit,source
1010,2015,5.5226,-0.235773,0.191972,-0.353083,0.525,7.265,-0.278348,,,,,
1010,2016,5.4709,-0.024294,0.183369,-0.260829,0.525,9.3631,0.118514,,,,,
1010,2017,6.3339,0.152748,0.153428,-0.115385,0.4875,8.8724,0.215625,,,,,
1010,2018,10.4877,0.663742,0.23263,-0.155211,0.5625,8.9234,0.531621,,,,,
1010,2019,13.158,0.258427,0.267678,-0.285945,0.69,6.5991,0.070909,,,,,
1010,2020,11.4997,-0.122372,0.320962,-0.450292,0.4125,3.1481,-0.091978,,,,,
1010,2021,16.0784,0.389896,0.225341,-0.128289,0.75,6.4834,0.323463,,,,,
1010,2022,19.3864,0.219244,0.356795,-0.291239,0.78,4.9055,-0.003788,1.74,,,,
1010,2023,18.1123,-0.062775,0.305734,-0.26375,0.975,5.0452,-0.078759,1.935,,,,
1010,2024,19.2245,0.052176,0.246584,-0.204323,1.1625,6.3625,0.010019,2.2575,,,,
1010,2025,19.3561,0.012154,0.261475,-0.178241,1.3125,6.8632,-0.017209,2.4675,,,,
1010,2026,20.9,0.061766,0.178076,-0.109172,1.0525,5.3469,0.052613,,,,,
1020,2015,5.8571,-0.416906,0.32121,-0.521362,0.0,0.0,-0.448639,,,,,
1020,2016,5.1308,-0.126691,0.309668,-0.406519,0.0,0.0,0.205433,,,,,
1020,2017,6.1561,0.204062,0.251814,-0.197708,0.2254,4.408,0.271454,,,,,
1020,2018,7.7466,0.260353,0.678382,-0.417788,0.2048,3.3321,0.194415,,,,,
1020,2019,8.5675,0.109084,0.176381,-0.254196,0.512,6.6279,-0.022689,,,,,
1020,2020,7.983,-0.068226,0.281673,-0.33724,0.192,2.241,-0.064494,,,,,
1020,2021,11.4892,0.454105,0.207325,-0.094716,0.224,2.835,0.451957,,,,,
1020,2022,11.7247,0.00488,0.34501,-0.406699,0.48,4.1139,-0.104743,0.8064,,,,
1020,2023,11.4912,-0.027055,0.195331,-0.215087,0.0,0.0,-0.039054,0.688,,,,
1020,2024,14.364,0.239395,0.24275,-0.130179,0.0,0.0,0.106771,1.01,,,,
1020,2025,10.7058,-0.257854,0.221534,-0.282113,0.0,0.0,-0.227411,1.0,,,,
1020,2026,12.0,0.103083,0.187024,-0.08612,0.5,4.5962,-0.038621,,,,,
1030,2015,5.995,-0.259447,0.571542,-0.398508,0.3842,4.7461,-0.319633,,,,,
1030,2016,5.9903,-0.003096,0.246723,-0.382246,0.3901,6.492,0.141584,,,,,
1030,2017,6.5767,0.101501,0.192492,-0.156352,0.3001,5.0258,0.244819,,,,,
1030,2018,7.7624,0.181854,0.178487,-0.135699,0.3601,5.4825,0.158681,,,,,
1030,2019,8.1795,0.052509,0.20821,-0.301306,0.0,0.0,-0.108696,,,,,
1030,2020,7.2546,-0.112098,0.260945,-0.356589,0.0,0.0,-0.073001,,,,,
1030,2021,9.0738,0.255474,0.173709,-0.146211,0.2401,3.3215,0.253901,,,,,
1030,2022,11.2267,0.228483,0.282798,-0.268764,0.6611,7.2336,0.103059,1.096,,,,
1030,2023,10.8601,-0.033768,0.196982,-0.183583,0.68,6.05,-0.041497,1.28,,,,
1030,2024,13.0382,0.199053,0.182907,-0.1116,0.72,6.6214,0.181311,1.43,,,,
1030,2025,12.4721,-0.046048,0.188436,-0.131376,0.8,6.1189,-0.082641,1.68,,,,
1030,2026,14.67,0.169984,0.179841,-0.134308,0.7,5.5827,0.081498,,,,,
1050,2015,8.2563,-0.09484,0.287355,-0.390107,0.4821,5.2859,-0.184587,,,,,
1050,2016,8.0542,-0.027595,0.373255,-0.320062,0.5304,6.4031,0.159866,,,,,
1050,2017,9.2639,0.159067,0.279645,-0.212121,0.7473,9.3503,0.210477,,,,,
1050,2018,10.5756,0.127747,0.276216,-0.194892,0.6027,6.4268,0.073779,,,,,
1050,2019,13.3388,0.273445,0.293327,-0.314806,0.8679,8.2854,0.101645,,,,,
1050,2020,11.5044,-0.128326,0.38492,-0.419898,0.4821,3.6532,-0.109325,,,,,
1050,2021,17.7034,0.538846,0.314088,-0.190131,0.5062,4.4005,0.445097,,,,,
1050,2022,15.7047,-0.124025,0.363204,-0.331657,0.7714,4.3029,-0.160012,1.3452,,,,
1050,2023,16.2367,0.028806,0.270807,-0.245333,0.892,5.6518,0.044161,1.61,,,,
1050,2024,14.1267,-0.148057,0.227555,-0.242463,0.9643,5.8154,-0.161401,1.72,,,,
1050,2025,15.9185,0.121177,0.244553,-0.140957,1.05,7.3954,0.115571,1.97,,,,
1050,2026,21.91,0.35782,0.226345,-0.084453,1.09,6.755,0.259567,,,,,
1060,2015,15.7231,-0.351859,6.609086,-0.875567,1.1,4.5344,-0.307868,,,,,
1060,2016,16.4476,0.050323,0.312472,-0.298384,0.7,4.4701,0.29323,,,,,
1060,2017,18.5603,0.119498,0.280178,-0.186508,1.06,6.3936,0.270782,,,,,
1060,2018,23.6235,0.270443,0.288484,-0.137109,1.67,8.981,0.203695,,,,,
1060,2019,26.1786,0.108159,0.294647,-0.286068,1.6,6.7729,-0.018144,,,,,
1060,2020,19.2146,-0.256377,0.396796,-0.480791,0.6,2.3221,-0.204091,,,,,
1060,2021,26.0577,0.351767,0.237739,-0.170977,0.5,2.5938,0.250888,,,,,
1060,2022,31.4206,0.184277,0.324895,-0.221906,0.91,3.4299,-0.017489,2.35,,,,
1060,2023,31.9799,0.017802,0.28836,-0.253367,1.62,5.1559,0.124635,3.41,,,,
1060,2024,29.9045,-0.064897,0.247684,-0.229634,1.98,6.1914,-0.059937,3.78,,,,
1060,2025,30.5729,0.025397,0.220078,-0.151173,2.0,6.7079,-0.044387,3.81,,,,
1060,2026,34.1,0.108521,0.186024,-0.138803,2.0,6.5016,0.11125,,,,,
1080,2015,7.0307,-0.20471,0.264826,-0.387603,0.5,5.6558,-0.280227,,,,,
1080,2016,6.965,-0.011439,0.259757,-0.359555,0.5,7.0966,0.176503,,,,,
1080,2017,8.1641,0.169515,0.207596,-0.122089,0.5,7.1625,0.278977,,,,,
1080,2018,10.976,0.342249,0.33628,-0.197183,0.65,7.9488,0.263293,,,,,
1080,2019,14.9237,0.357542,0.240876,-0.209205,1.0125,9.2102,0.213244,,,,,
1080,2020,11.2605,-0.235701,0.350146,-0.427549,0.375,2.5453,-0.216883,,,,,
1080,2021,13.2618,0.175389,0.175588,-0.113036,0.5625,4.9854,0.163831,,,,,
1080,2022,19.1697,0.421853,0.33427,-0.210155,0.7125,5.2847,0.212619,1.5375,,,,
1080,2023,15.8496,-0.177051,0.259034,-0.293865,0.9375,4.8677,-0.056976,2.04,,,,
1080,2024,18.693,0.177073,0.222238,-0.178021,1.175,7.3988,0.156543,2.48,,,,
1080,2025,20.3692,0.070377,0.252994,-0.184129,1.3,6.8313,0.079431,2.49,,,,
1080,2026,22.32,0.097294,0.178831,-0.105851,1.3,6.3911,-0.060643,,,,,
1111,2021,117.0299,-0.009449,0.199472,-0.037795,0.0,0.0,,,,,,
1111,2022,170.9828,0.454083,0.431958,-0.382401,3.0,2.5513,0.147291,3.54,,,,
1111,2023,178.9072,0.033781,0.291992,-0.264865,2.31,1.3348,0.106242,3.25,,,,
1111,2024,209.4843,0.140386,0.303526,-0.228459,2.3,1.2521,0.013559,5.18,,,,
1111,2025,138.0853,-0.340832,0.272229,-0.343256,3.35,1.5992,-0.329073,3.3,,,,
1111,2026,130.0,-0.061896,0.326825,-0.277553,2.3,1.6597,-0.363752,,,,,
1120,2015,10.0658,0.026756,0.284861,-0.302296,0.3385,3.4533,-0.128941,,,,,
1120,2016,12.5658,0.222779,0.22364,-0.194762,0.474,4.6121,0.286143,,,,,
1120,2017,13.496,0.078305,0.176767,-0.100865,0.8125,6.4917,0.025206,,,,,
1120,2018,19.3254,0.423126,0.201618,-0.095875,1.2188,8.9749,0.274148,,,,,
1120,2019,23.4359,0.225299,0.211187,-0.237508,1.5625,8.1692,0.058991,,,,,
1120,2020,27.1138,0.162266,0.241019,-0.231928,0.625,2.6791,0.153408,,,,,
1120,2021,53.4641,0.996251,0.231721,-0.115127,1.0,3.7338,0.988047,,,,,
1120,2022,45.3653,-0.159776,0.276572,-0.371678,0.0,0.0,-0.185927,2.8267,,,,
1120,2023,53.9085,0.1836,0.184441,-0.201936,1.6,3.5129,0.119822,2.6333,,,,
1120,2024,60.6218,0.120643,0.220841,-0.145138,1.6,2.9577,0.06308,3.1133,,,,
1120,2025,63.9379,0.048055,0.221862,-0.131818,1.4733,2.4151,0.044763,3.9,,,,
1120,2026,67.45,0.05277,0.185801,-0.132496,1.1667,1.8209,-0.023213,,,,,
1140,2015,6.763,-0.305857,0.352269,-0.473943,0.1333,1.3685,-0.370494,,,,,
1140,2016,6.8097,-0.005219,0.332926,-0.295943,0.0,0.0,0.297382,,,,,
1140,2017,7.0567,0.048975,0.174601,-0.139706,0.32,4.7568,0.09739,,,,,
1140,2018,9.5456,0.308027,0.24677,-0.154286,0.16,2.1925,0.324268,,,,,
1140,2019,11.9435,0.260454,0.259828,-0.21918,0.2,2.1107,0.175699,,,,,
