symbol,year,revenue,net_income,eps,roe,de,payout
1010,2022,13328144000.0,7019322000.0,1.74,12.4958,0.1653,0.4428
1010,2023,15758743000.0,8045844000.0,1.935,13.3523,0.2294,0.482
1010,2024,17252501000.0,9321894000.0,2.2575,13.6298,0.2002,0.4961
1010,2025,18354127000.0,10410951000.0,2.4675,13.7927,0.6408,0.5022
1020,2022,3429643000.0,1109088000.0,0.8064,8.1496,0.1635,0.5333
1020,2023,3323080000.0,1019972000.0,0.688,6.2135,0.1341,0.0001
1020,2024,3779125000.0,1230954000.0,1.01,7.0686,0.1254,0.003
1020,2025,4462516000.0,1505544000.0,1.0,6.9141,0.1015,0.0097
1030,2021,,,,,,
1030,2022,3281043000.0,1507855000.0,1.096,8.9808,0.0121,0.5471
1030,2023,3952869000.0,1761607000.0,1.28,10.2211,0.0122,0.4825
1030,2024,4163871000.0,1956630000.0,1.43,9.2594,0.0073,0.4597
1030,2025,4778483000.0,2431485000.0,1.68,10.8386,0.132,0.4104
1050,2022,8021256000.0,3575130000.0,1.3452,9.2273,0.1351,0.5374
1050,2023,9398142000.0,4222733000.0,1.61,10.1989,0.2245,0.5257
1050,2024,9621734000.0,4544071000.0,1.72,9.64,0.3435,0.5276
1050,2025,10485949000.0,5353419000.0,1.97,10.5675,0.7812,0.4894
1060,2021,,,,,,
1060,2022,9654205000.0,4827605000.0,2.35,8.8358,0.1042,0.4065
1060,2023,12814086000.0,7002373000.0,3.41,11.3125,0.0916,0.495
1060,2024,14136138000.0,8070461000.0,3.78,11.6211,0.0804,0.4889
1060,2025,14841606000.0,8452094000.0,3.81,10.6532,0.1028,0.4578
1080,2022,6849251000.0,3070405000.0,1.5375,9.4958,0.1145,0.4449
1080,2023,8544737000.0,4070510000.0,2.04,11.377,0.1047,0.4243
1080,2024,9396234000.0,4966022000.0,2.48,12.848,0.0982,0.4353
1080,2025,9877297000.0,5116238000.0,2.49,10.3395,0.0304,0.4573
1111,2021,,,,,,
1111,2022,1090195935.0,424598326.0,3.54,13.3535,0.0,0.8479
1111,2023,1072780190.0,390060733.0,3.25,12.3535,0.0677,0.7107
1111,2024,1446558786.0,621842981.0,5.18,17.809,0.0999,0.4438
1111,2025,1261233519.0,395608265.0,3.3,11.4908,0.1705,1.0162
1120,2022,28553507000.0,17150825000.0,2.8267,17.1123,0.0072,
1120,2023,27433692000.0,16621159000.0,2.6333,15.5688,0.0414,0.5776
1120,2024,31912742000.0,19722206000.0,3.1133,16.03,0.3084,0.4868
1120,2025,38967166000.0,24791754000.0,3.9,17.3658,0.5626,0.3566
1140,2022,5174125000.0,2081688000.0,1.3933,15.5362,0.2657,
1140,2023,5303104000.0,2368938000.0,1.5917,15.5258,0.2243,0.2111
1140,2024,5654008000.0,2806531000.0,1.88,16.8124,0.2054,0.4009
1140,2025,6186078000.0,3049353000.0,1.99,14.2787,0.1669,0.2214
1150,2022,7967671000.0,3599140000.0,1.1533,11.291,1.9781,0.4699
1150,2023,9686112000.0,4839206000.0,1.5583,14.0947,2.846,0.5551
1150,2024,10934157000.0,5831661000.0,1.85,14.0719,2.4649,0.341
1150,2025,11841459000.0,6397149000.0,1.975,13.2608,2.6047,0.4666
1180,2022,34071100000.0,18580690000.0,3.03,11.195,0.0892,0.482
1180,2023,35889512000.0,20009968000.0,3.23,11.3754,0.2593,0.3891
1180,2024,37401819000.0,21192995000.0,3.44,11.0056,0.5008,0.5096
1180,2025,40843879000.0,25013279000.0,4.04,12.3049,0.6555,0.4797
1182,2021,,,,,,
1182,2022,224255000.0,96722000.0,0.9511,7.8318,1.4407,0.7962
1182,2023,180804000.0,31806000.0,0.31,2.6826,2.2097,2.2788
1182,2024,244462000.0,46314000.0,0.45,3.7816,2.6061,
1182,2025,343563000.0,65226000.0,0.64,5.091,2.3919,
1183,2021,,,,,,
1183,2022,189411427.0,95889625.0,0.96,5.6118,1.5019,0.8072
1183,2023,112020000.0,2326000.0,0.02,0.1401,1.6144,21.4961
1183,2024,144982000.0,26528000.0,0.27,1.5719,1.6489,
1183,2025,201232000.0,50676000.0,0.51,2.9166,1.6874,
1201,2021,,,,,,
1201,2022,1045399000.0,-158916000.0,-2.3767,-36.5639,1.5075,
1201,2023,818163000.0,-223333000.0,-4.09,-109.6097,3.6094,
1201,2024,671735000.0,-75835000.0,-1.05,-19.3636,1.5186,
1201,2025,601625000.0,-202030000.0,-2.64,-105.8558,3.7175,
1202,2022,1187005798.0,269698532.0,4.05,22.8355,0.4861,0.2781
1202,2023,866752771.0,-80269141.0,-1.2,-7.4718,0.5509,-0.4153
1202,2024,1065255961.0,-77326129.0,-0.89,-4.8141,0.4414,
