code,name_ar,name_en,sector,sector_ar
4030,الشركة الوطنية السعودية للنقل البحري,National Shipping Company of Sa,Industrials,الطاقة
4200,شركة الدريس للخدمات البترولية والنقليات,Aldrees Petroleum and Transport,Consumer Cyclical,الطاقة
2222,شركة الزيت العربية السعودية,Saudi Arabian Oil Co.,Energy,الطاقة
2030,شركة المصافي العربية السعودية,Saudi Arabia Refineries Co.,Industrials,الطاقة
2380,شركة رابغ للتكرير والبتروكيماويات,Rabigh Refining and Petrochemic,Energy,الطاقة
2381,شركة الحفر العربية,Arabian Drilling Co.,Energy,الطاقة
1320,الشركة السعودية لأنابيب الصلب,Saudi Steel Pipe Co.,Basic Materials,المواد الأساسية
1321,شركة أنابيب الشرق المتكاملة للصناعة,East Pipes Integrated Company f,Basic Materials,المواد الأساسية
2300,الشركة السعودية لصناعة الورق,Saudi Paper Manufacturing Co.,Basic Materials,المواد الأساسية
2010,الشركة السعودية للصناعات الأساسية,Saudi Basic Industries Corp.,Basic Materials,المواد الأساسية
2200,الشركة العربية للأنابيب,Arabian Pipes Co.,Basic Materials,المواد الأساسية
2330,الشركة المتقدمة للبتروكيماويات,Advanced Petrochemical Co.,Basic Materials,المواد الأساسية
2220,الشركة الوطنية لتصنيع وسبك المعادن,National Metal Manufacturing an,Basic Materials,المواد الأساسية
2250,المجموعة السعودية للاستثمار الصناعي,Saudi Industrial Investment Gro,Basic Materials,المواد الأساسية
3091,شركة أسمنت الجوف,Al Jouf Cement Co.,Basic Materials,المواد الأساسية
3040,شركة أسمنت القصيم,Qassim Cement Co.,Basic Materials,المواد الأساسية
3003,شركة أسمنت المدينة,City Cement Co.,Basic Materials,المواد الأساسية
3050,شركة أسمنت المنطقة الجنوبية,Southern Province Cement Co.,Basic Materials,المواد الأساسية
3080,شركة أسمنت المنطقة الشرقية,Eastern Province Cement Co.,Basic Materials,المواد الأساسية
3004,شركة أسمنت المنطقة الشمالية,Northern Region Cement Co.,Basic Materials,المواد الأساسية
3020,شركة أسمنت اليمامة,Yamama Cement Co.,Basic Materials,المواد الأساسية
3005,شركة إسمنت أم القرى,Umm Al-Qura Cement Co.,Basic Materials,المواد الأساسية
3090,شركة أسمنت تبوك,Tabuk Cement Co.,Basic Materials,المواد الأساسية
3002,شركة أسمنت نجران,Najran Cement Co.,Basic Materials,المواد الأساسية
3060,شركة أسمنت ينبع,Yanbu Cement Co.,Basic Materials,المواد الأساسية
1301,شركة اتحاد مصانع الأسلاك,United Wire Factories Co.,Industrials,المواد الأساسية
2020,شركة سابك للمغذيات الزراعية,SABIC Agri-Nutrients Co.,Basic Materials,المواد الأساسية
3030,شركة الأسمنت السعودية,Saudi Cement Co.,Basic Materials,المواد الأساسية
3010,شركة الأسمنت العربية,Arabian Cement Co.,Basic Materials,المواد الأساسية
2060,شركة التصنيع الوطنية,National Industrialization Co.,Basic Materials,المواد الأساسية
1211,شركة التعدين العربية السعودية,Saudi Arabian Mining Co.,Basic Materials,المواد الأساسية
2090,شركة الجبس الأهلية,National Gypsum Co.,Basic Materials,المواد الأساسية
2240,شركة الزامل للاستثمار الصناعي,Advanced Building Industries Co,Industrials,المواد الأساسية
1202,شركة الشرق الأوسط لصناعة وإنتاج الورق,Middle East Paper Co.,Basic Materials,المواد الأساسية
2310,شركة الصحراء العالمية للبتروكيماويات,Sahara International Petrochemi,Basic Materials,المواد الأساسية
2150,شركة الصناعات الزجاجية الوطنية,The National Company for Glass,Consumer Cyclical,المواد الأساسية
1210,شركة الصناعات الكيميائية الأساسية,Basic Chemical Industries Co.,Basic Materials,المواد الأساسية
3008,شركة الكثيري القابضة,Al Kathiri Holding Co.,Basic Materials,المواد الأساسية
2170,شركة اللجين القابضة,Alujain Corp.,Basic Materials,المواد الأساسية
1304,شركة اليمامة للصناعات الحديدية,Al Yamamah Steel Industries Co.,Basic Materials,المواد الأساسية
2180,شركة تصنيع مواد التعبئة والتغليف,Filing and Packing Materials Ma,Consumer Cyclical,المواد الأساسية
1201,شركة تكوين المتطورة للصناعات,Takween Advanced Industries Co.,Consumer Cyclical,المواد الأساسية
3007,شركة زهرة الواحة للتجارة,Zahrat Al Waha for Trading Co.,Consumer Cyclical,المواد الأساسية
2350,شركة كيان السعودية للبتروكيماويات,Saudi Kayan Petrochemical Co.,Basic Materials,المواد الأساسية
2001,شركة كيمائيات الميثانول,Methanol Chemicals Co.,Basic Materials,المواد الأساسية
2210,شركة نماء للكيماويات,Nama Chemicals Co.,Basic Materials,المواد الأساسية
2290,شركة ينبع الوطنية للبتروكيماويات,Yanbu National Petrochemical Co,Basic Materials,المواد الأساسية
2360,الشركة السعودية لإنتاج الأنابيب الفخارية,Saudi Vitrified Clay Pipes Co.,Industrials,السلع الرأسمالية
4140,الشركة السعودية للصادرات الصناعية,Saudi Industrial Export Co.,Industrials,السلع الرأسمالية
2160,شركة أميانتيت العربية السعودية,Saudi Arabian Amiantit Co.,Industrials,السلع الرأسمالية
2140,شركة أيان للاستثمار,AYYAN Investment Co.,Consumer Defensive,السلع الرأسمالية
2320,شركة البابطين للطاقة والإتصالات,Al-Babtain Power and Telecommun,Industrials,السلع الرأسمالية
2040,شركة الخزف السعودي,Saudi Ceramic Co.,Industrials,السلع الرأسمالية
2370,شركة الشرق الأوسط للكابلات المتخصصة,Middle East Specialized Cables,Industrials,السلع الرأسمالية
1303,شركة الصناعات الكهربائية,Electrical Industries Co.,Industrials,السلع الرأسمالية
4141,شركة العمران للصناعة والتجارة,Al-Omran Industrial Trading Co.,Consumer Cyclical,السلع الرأسمالية
2110,شركة الكابلات السعودية,Saudi Cable Co.,Industrials,السلع الرأسمالية
1302,شركة بوان,Bawan Co.,Industrials,السلع الرأسمالية
1212,مجموعة أسترا الصناعية,Astra Industrial Group,Industrials,السلع الرأسمالية
4270,الشركة السعودية للطباعة والتغليف,Saudi Printing and Packaging Co,Industrials,الخدمات التجارية والمهنية
6004,شركة الخطوط السعودية للتموين,CATRION Catering Holding Co.,Industrials,الخدمات التجارية والمهنية
1831,شركة مهارة للموارد البشرية,Maharah Human Resources Co.,Industrials,الخدمات التجارية والمهنية
1832,شركة صدر للخدمات اللوجستية,Sadr Logistics Co,Industrials,الخدمات التجارية والمهنية
4031,الشركة السعودية للخدمات الأرضية,Saudi Ground Services Co.,Industrials,النقل
2190,الشركة السعودية للخدمات الصناعية,Sustained Infrastructure Holdin,Industrials,النقل
4040,الشركة السعودية للنقل الجماعي,Saudi Public Transport Co.,Industrials,النقل
4260,الشركة المتحدة الدولية للمواصلات,United International Transporta,Industrials,النقل
4261,شركة ذيب لتأجير السيارات,Theeb Rent a Car Co.,Industrials,النقل
4110,شركة باتك للاستثمار والأعمال اللوجستية,Batic Investments and Logistics,Industrials,النقل
2130,الشركة السعودية للتنمية الصناعية,Saudi Industrial Development Co,Consumer Cyclical,السلع طويلة الاجل
2340,شركة العبد اللطيف للاستثمار الصناعي,ARTEX Industrial Investment Co.,Consumer Cyclical,السلع طويلة الاجل
4012,شركة ثوب الأصيل,Thob Al Aseel Co.,Consumer Cyclical,السلع طويلة الاجل
4011,شركة لازوردي للمجوهرات,Lazurde Company for Jewelry,Consumer Cyclical,السلع طويلة الاجل
1213,شركة نسيج العالمية التجارية,Naseej International Trading Co,Consumer Cyclical,السلع طويلة الاجل
4180,مجموعة فتيحي القابضة,Fitaihi Holding Group,Consumer Cyclical,السلع طويلة الاجل
4291,الشركة الوطنية للتربية والتعليم,National Company for Learning a,Consumer Defensive,الخدمات الإستهلاكية
4290,شركة الخليج للتدريب والتعليم,Alkhaleej Training and Educatio,Consumer Defensive,الخدمات الإستهلاكية
4170,شركة المشروعات السياحية,Tourism Enterprise Co.,Consumer Cyclical,الخدمات الإستهلاكية
6012,شركة ريدان الغذائية,Raydan Food Co.,Consumer Cyclical,الخدمات الإستهلاكية
6013,شركة الأعمال التطويرية الغذائية,Development Works Food Co.,Consumer Cyclical,الخدمات الإستهلاكية
4292,شركة عطاء التعليمية,Ataa Educational Co.,Consumer Defensive,الخدمات الإستهلاكية
1830,شركة لجام للرياضة,Leejam Sports Co.,Consumer Cyclical,الخدمات الإستهلاكية
6002,شركة هرفي للخدمات الغذائية,Herfy Food Services Co.,Consumer Cyclical,الخدمات الإستهلاكية
1810,مجموعة سيرا القابضة,Seera Group Holding,Consumer Cyclical,الخدمات الإستهلاكية
1820,مجموعة عبد المحسن الحكير للسياحة والتنمية,BAAN Holding Group Co.,Consumer Cyclical,الخدمات الإستهلاكية
4210,المجموعة السعودية للأبحاث والتسويق,Saudi Research and Media Group,Communication Services,الإعلام والترفيه
4070,شركة تهامة للإعلان والعلاقات العامة,"Tihama Advertising\, Public Rel",Communication Services,الإعلام والترفيه
4050,الشركة السعودية لخدمات السيارات  والمعدات,Saudi Automotive Services Co.,Consumer Cyclical,تجزئة السلع الكمالية
4008,الشركة السعودية للعدد والأدوات,Saudi Company for Hardware,Consumer Cyclical,تجزئة السلع الكمالية
4003,الشركة المتحدة للإلكترونيات,United Electronics Co.,Consumer Cyclical,تجزئة السلع الكمالية
1214,شركة الحسن غازي إبراهيم شاكر,Al Hassan Ghazi Ibrahim Shaker,Technology,تجزئة السلع الكمالية
4051,شركة باعظيم التجارية,Baazeem Trading Co.,Industrials,تجزئة السلع الكمالية
4190,شركة جرير للتسويق,Jarir Marketing Co.,Consumer Cyclical,تجزئة السلع الكمالية
4191,شركة عبد الله سعد محمد أبو معطي للمكتبات,Abdullah Saad Mohammed Abo Moat,Consumer Cyclical,تجزئة السلع الكمالية
4240,شركة فواز عبد العزيز الحكير وشركاه,AFG International Co.,Consumer Cyclical,تجزئة السلع الكمالية
4006,الشركة السعودية للتسويق,Saudi Marketing Co.,Consumer Cyclical,تجزئة الأغذية
4160,شركة ثمار التنمية القابضة,Thimar Development Holding Co.,Financial Services,تجزئة الأغذية
4001,شركة أسواق عبدالله العثيم,Abdullah Al Othaim Markets Co.,Consumer Defensive,تجزئة الأغذية
4161,شركة بن داود القابضة,BinDawood Holding Co.,Consumer Defensive,تجزئة الأغذية
4061,مجموعة أنعام الدولية القابضة,Anaam International Holding Gro,Consumer Defensive,تجزئة الأغذية
6050,الشركة السعودية للأسماك,Saudi Fisheries Co.,Consumer Defensive,إنتاج الأغذية
2270,الشركة السعودية لمنتجات الألبان والأغذية,Saudia Dairy and Foodstuff Co.,Consumer Defensive,إنتاج الأغذية
6010,الشركة الوطنية للتنمية الزراعية,National Agricultural Developme,Consumer Defensive,إنتاج الأغذية
6070,شركة الجوف الزراعية,Al-Jouf Agricultural Developmen,Consumer Defensive,إنتاج الأغذية
6060,شركة الشرقية للتنمية,Ash-Sharqiyah Development Co.,Consumer Defensive,إنتاج الأغذية
6020,شركة القصيم القابضة للاستثمار,Al Gassim Investment Holding Co,Consumer Defensive,إنتاج الأغذية
2280,شركة المراعي,Almarai Co.,Consumer Defensive,إنتاج الأغذية
6040,شركة تبوك للتنمية الزراعية,Tabuk Agricultural Development,Consumer Defensive,إنتاج الأغذية
6090,شركة جازان للطاقة والتنمية,Jazan Development and Investmen,Consumer Defensive,إنتاج الأغذية
6001,شركة حلواني إخوان,Halwani Bros. Co.,Consumer Defensive,إنتاج الأغذية
2100,شركة وفرة للصناعة والتنمية,Wafrah for Industry and Develop,Consumer Defensive,إنتاج الأغذية
2050,مجموعة صافولا,Savola Group,Consumer Defensive,إنتاج الأغذية
2281,شركة التنمية الغذائية,Tanmiah Food Co,Consumer Defensive,إنتاج الأغذية
2230,الشركة الكيميائية السعودية القابضة,Saudi Chemical Co.,Healthcare,الرعاية الصحية
4005,الشركة الوطنية للرعاية الطبية,National Medical Care Co.,Healthcare,الرعاية الصحية
4007,شركة الحمادي للتنمية والإستثمار,Al Hammadi Holding,Healthcare,الرعاية الصحية
4009,شركة الشرق الأوسط للرعاية الصحية,Middle East Healthcare Co.,Healthcare,الرعاية الصحية
4002,شركة المواساة للخدمات الطبية,Mouwasat Medical Services Co.,Healthcare,الرعاية الصحية
4004,شركة دله للخدمات الصحية,Dallah Healthcare Co.,Healthcare,الرعاية الصحية
4013,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,Dr. Sulaiman Al Habib Medical S,Healthcare,الرعاية الصحية
2070,الشركة السعودية للصناعات الدوائية والمستلزمات الطبية,Saudi Pharmaceutical Industries,Healthcare,الادوية
1180,البنك الأهلي التجاري,The Saudi National Bank,Financial Services,البنوك
1060,البنك السعودي البريطاني,Saudi Awwal Bank,Financial Services,البنوك
1050,البنك السعودي الفرنسي,Banque Saudi Fransi,Financial Services,البنوك
1030,البنك السعودي للاستثمار,Saudi Investment Bank,Financial Services,البنوك
1080,البنك العربي الوطني,Arab National Bank,Financial Services,البنوك
1140,بنك البلاد,Bank Albilad,Financial Services,البنوك
1020,بنك الجزيرة,Bank Aljazira,Financial Services,البنوك
1010,بنك الرياض,Riyad Bank,Financial Services,البنوك
1182,شركة أملاك العالمية للتمويل العقاري,Amlak International Finance Co.,Financial Services,البنوك
1150,مصرف الإنماء,Alinma Bank,Financial Services,البنوك
1120,مصرف الراجحي,Al Rajhi Bank,Financial Services,البنوك
