code,name_ar,short_ar,sector_ar
4030,الشركة الوطنية السعودية للنقل البحري,البحري,الطاقة
4200,شركة الدريس للخدمات البترولية والنقليات,الدريس,الطاقة
2222,شركة الزيت العربية السعودية,أرامكو السعودية,الطاقة
2030,شركة المصافي العربية السعودية,المصافي,الطاقة
2380,شركة رابغ للتكرير والبتروكيماويات,بترو رابغ,الطاقة
2381,شركة الحفر العربية,الحفر العربية,الطاقة
1320,الشركة السعودية لأنابيب الصلب,أنابيب السعودية,المواد الأساسية
1321,شركة أنابيب الشرق المتكاملة للصناعة,أنابيب الشرق,المواد الأساسية
2300,الشركة السعودية لصناعة الورق,صناعة الورق,المواد الأساسية
2010,الشركة السعودية للصناعات الأساسية,سابك,المواد الأساسية
2200,الشركة العربية للأنابيب,أنابيب,المواد الأساسية
2330,الشركة المتقدمة للبتروكيماويات,المتقدمة,المواد الأساسية
2220,الشركة الوطنية لتصنيع وسبك المعادن,معدنية,المواد الأساسية
2002,الشركة الوطنية للبتروكيماويات,بتروكيم,المواد الأساسية
2250,المجموعة السعودية للاستثمار الصناعي,المجموعة السعودية,المواد الأساسية
3091,شركة أسمنت الجوف,أسمنت الجوف,المواد الأساسية
3040,شركة أسمنت القصيم,أسمنت القصيم,المواد الأساسية
3003,شركة أسمنت المدينة,أسمنت المدينة,المواد الأساسية
3050,شركة أسمنت المنطقة الجنوبية,أسمنت الجنوب,المواد الأساسية
3080,شركة أسمنت المنطقة الشرقية,أسمنت الشرقية,المواد الأساسية
3004,شركة أسمنت المنطقة الشمالية,أسمنت الشمالية,المواد الأساسية
3020,شركة أسمنت اليمامة,أسمنت اليمامة,المواد الأساسية
3005,شركة إسمنت أم القرى,إسمنت أم القرى,المواد الأساسية
3090,شركة أسمنت تبوك,أسمنت تبوك,المواد الأساسية
3001,شركة أسمنت حائل,أسمنت حائل,المواد الأساسية
3002,شركة أسمنت نجران,أسمنت نجران,المواد الأساسية
3060,شركة أسمنت ينبع,أسمنت ينبع,المواد الأساسية
1301,شركة اتحاد مصانع الأسلاك,أسلاك,المواد الأساسية
2020,شركة سابك للمغذيات الزراعية,سافكو,المواد الأساسية
3030,شركة الأسمنت السعودية,أسمنت السعودية,المواد الأساسية
